Applicant_Income,Coapplicant_Income,Age,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Approved,Total_Income,Loan_Income_Ratio,Savings_Ratio,Employment_Status_Salaried,Employment_Status_Self-employed,Employment_Status_Unemployed,Marital_Status_Single,Loan_Purpose_Car,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Personal,Property_Area_Semiurban,Property_Area_Urban,Gender_Male,Employer_Category_Government,Employer_Category_MNC,Employer_Category_Private,Employer_Category_Unemployed,Education_Level_Not Graduate
17795.0,1387.0,51.0,0.0,637.0,4.0,0.53,19403.0,45638.0,16619.0,84.0,0,19182.0,0.8663851527473673,1.1675191046392683,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2860.0,2679.0,46.0,3.0,621.0,2.0,0.3,2580.0,49272.0,38687.0,48.0,0,5539.0,6.984473731720527,0.06668906867940134,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
7390.0,2106.0,25.0,2.0,674.0,4.0,0.2,13844.0,6908.0,27943.0,72.0,1,9496.0,2.9426074136478517,0.49543713989192284,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
13964.0,8173.0,40.0,2.0,579.0,3.0,0.31,9553.0,10844.0,27819.0,60.0,0,22137.0,1.2566743461173602,0.3433983967791797,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13284.0,4223.0,31.0,2.0,721.0,1.0,0.29,9386.0,37629.0,12741.0,72.0,1,17507.0,0.7277660364425659,0.7366768699474139,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
8265.0,4831.0,53.0,1.0,602.0,1.0,0.56,19522.0,2911.0,9798.0,36.0,0,13096.0,0.748167379352474,1.9924474382527047,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18850.0,2768.0,58.0,0.0,687.0,0.0,0.48,14635.0,8991.0,26143.0,24.0,0,21618.0,1.2093163104820057,0.5598056841219446,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6426.0,3186.0,47.0,2.0,636.0,4.0,0.34718715393134,671.0,11572.0,33747.0,84.0,0,9612.0,3.510923845193508,0.01988324888138205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16423.0,5061.607538802661,54.0,1.0,729.0,0.0,0.59,777.0,43066.0,34651.0,36.0,0,21484.607538802662,1.6128290887984775,0.022423595278635536,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
13363.0,2599.0,35.0,3.0,726.0,1.0,0.34718715393134,3022.0,29693.0,22182.0,60.0,1,15962.0,1.3896754792632502,0.13623658822468668,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
18023.0,4033.0,52.0,2.0,688.0,1.0,0.13,18244.0,40004.0,10415.0,12.0,1,22056.0,0.47220710917664127,1.7517042726836294,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
10322.0,8428.0,41.0,1.0,743.0,4.0,0.23,9966.298557158712,38333.0,12085.0,84.0,1,18750.0,0.6445333333333333,0.8246833725410602,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3685.0,1304.0,25.0,2.0,735.0,3.0,0.32,13817.0,17493.0,16008.0,36.0,0,4989.0,3.2086590499098016,0.8631309345327336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2769.0,7368.0,26.0,0.0,767.0,3.0,0.18,14260.0,39697.0,23102.0,72.0,0,10137.0,2.278978001381079,0.6172625746688598,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4433.0,5877.0,58.0,0.0,713.0,4.0,0.57,1074.0,24701.875693673697,19452.0,84.0,0,10310.0,1.8867119301648885,0.05521283158544109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7051.0,2541.0,38.0,2.0,724.0,0.0,0.23,9475.0,18033.0,8820.0,48.0,1,9592.0,0.9195162635529608,1.0742630385487528,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
8420.0,2051.0,34.0,1.0,562.0,4.0,0.4,12878.0,7351.0,19170.0,48.0,0,10471.0,1.8307707000286506,0.6717788210745957,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
19568.0,6809.0,30.0,3.0,589.0,3.0,0.46,15120.0,25921.0,17259.0,48.0,0,26377.0,0.6543200515600712,0.8760646619155223,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8396.0,8633.0,33.0,2.0,638.0,1.948945615982242,0.57,1986.0,19340.0,23099.0,84.0,0,17029.0,1.3564507604674378,0.08597774795445691,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
10666.0,8996.0,51.0,3.0,617.0,0.0,0.54,10825.0,14901.0,10649.0,12.0,0,19662.0,0.5416030922591801,1.0165273734622968,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4747.0,74.0,50.0,1.0,591.0,0.0,0.36,9193.0,24701.875693673697,31255.0,60.0,0,4821.0,6.483094793611284,0.29412893936970086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2189.0,6981.0,23.0,3.0,696.0,0.0,0.49,17430.0,38596.0,12805.0,84.0,0,9170.0,1.396401308615049,1.3611870363139398,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
5005.0,5475.0,50.0,3.0,759.0,0.0,0.38,2176.0,21378.0,9744.0,24.0,1,10480.0,0.9297709923664123,0.2233169129720854,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
3899.0,8232.0,26.0,3.0,778.0,1.948945615982242,0.38,18722.0,44324.0,33305.0,72.0,0,12131.0,2.745445552716182,0.5621378171445729,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3267.0,5061.607538802661,49.0,2.0,643.0,4.0,0.16,10047.0,22820.0,26857.0,72.0,0,8328.607538802662,3.224668694601621,0.3740924153851882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13394.0,7141.0,53.0,0.0,735.0,4.0,0.36,18617.0,32642.0,30829.0,84.0,1,20535.0,1.501290479668858,0.6038794641409063,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
5556.0,1622.0,37.0,1.460686600221484,572.0,2.0,0.23,4608.0,25378.0,11985.0,60.0,0,7178.0,1.6696851490665923,0.38448060075093865,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
